RODRIGO GOMEZ,,CR478,,,
,SUM. Y COLOC DE ZOCLO DE 60x10 CM CON P,6.83,MTO,165.00,478
10022565,SUM Y COL PLAFON P/PATIO PUBLICO 61X61cm,66.00,M2,444.22,478
10022566,SUM Y COL PLAFON P/AREA SERVIC 61X122cm,155.00,M2,342.86,478
10031789,REHABILITACION PUERTAS RECUP. C/ LAMINAD,1.00,UND,1882.76,478
10031792,SYC CHAMBRANA DE MADERA EN PUERTAS,10.20,MTO,126.00,478
10031808,SYC REPISA P/AREA DOTACION 0.35X0.15,1.00,UND,760.00,478
10031836,SYC DE CANCEL TEMPLADO DE 9mm.,43.49,M2,2440.00,478
10031789,REHABILITACION PUERTAS RECUP. C/ LAMINAD,1.00,UND,1882.76,478
10031792,SYC CHAMBRANA DE MADERA EN PUERTAS,10.20,MTO,126.00,478
10031808,SYC REPISA P/AREA DOTACION 0.35X0.15,1.00,UND,760.00,478
10031848,      COL DE PELICULA DE ESMERILA 0.15,121.49,MTO,113.54,478
10031842,SYC DE TOPE DE PISO MEDIA LUNA,3.00,UND,95.30,478
,SUM. Y COLOC. DE PUERTA ACCESO SUCURSAL,2.00,UND,25000.00,478
10031828,PERFIL ALUM P/SOPORTE DE CRISTAL SANDWIC,1.80,MTO,194.12,478
10031856,SYCOC PANELES DE ALUMINIO REYNOBON,16.00,M2,1818.00,478
10031860,"SUM E INST REJA METALICA DE VARILLA 1/2""",1250.00,KG,35.50,478
10031842,SYC DE TOPE DE PISO MEDIA LUNA,3.00,UND,95.30,478
10031843,SYC CRISTAL 6mm  ARRIBA DE CAJAS,2.00,M2,1405.00,478
10031884,SUM E INST DE SALIDA DE CIELO O MURO ILU,27.00,SAL,805.00,478
10031885,SUM E INST DE SALIDA DE CONTACTO NORMAL,27.00,SAL,1186.00,478
10031886,SUM E INST DE SALIDA DE CONTACTO REGULAD,21.00,SAL,1234.00,478
10031889,SUM E INST DE SALIDA ELECTRICA P/CLIMA,2.00,SAL,5100.00,478
10031890,SUM. E INST. ACOMETIDA ELECTRICA GENERAL,1.00,LE,18500.00,478
10031906,SYC REFLECTOR M- CONSTRULITA MOD. CO1021,23.00,UND,1350.00,478
10031891,SUM. Y CONSTR DE REGISTRO TIERRA FISICA,4.00,UND,1520.00,478
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,13.00,SAL,1150.00,478
10031916,S. HAB  FABR Y MONTAJE DUCTOS LAM CAL 24,275.48,KG,54.00,478
10031917,"SYC AISLAMIENTO EXTERIOR 1"" P/DUCTO",179.84,FT2,14.30,478
10031919,"SUM E INST DE DUCTO FLEXIBLE 10"" VERMONT",89.00,MTO,165.82,478
10031920,"SUM E INST DE DUCTO FLEXIBLE 12"" VERMONT",105.00,MTO,177.85,478
10031936,"SYCOL. DE DIFUSOR 4v. 12""x 12"" SI",1.00,UND,781.33,478
10031941,"SUM E INST REJILLA DE RETORNO DE 20""X10""",1.00,UND,613.01,478
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,10.00,SAL,1150.00,478
10031916,S. HAB  FABR Y MONTAJE DUCTOS LAM CAL 24,1275.48,KG,54.00,478
10031917,"SYC AISLAMIENTO EXTERIOR 1"" P/DUCTO",1179.84,FT2,14.30,478
10031919,"SUM E INST DE DUCTO FLEXIBLE 10"" VERMONT",89.00,MTO,165.82,478
10031920,"SUM E INST DE DUCTO FLEXIBLE 12"" VERMONT",103.00,MTO,177.85,478
10031936,"SYCOL. DE DIFUSOR 4v. 12""x 12"" SI",11.00,UND,781.33,478
10031941,"SUM E INST REJILLA DE RETORNO DE 20""X10""",1.00,UND,613.01,478
10031946,BALANCEO DEL SISTEMA DE AIRE ACONDICIONA,1.00,LE,2061.01,478
10031948,SUM E INST DE DIFUSOR LINEAL 6FT RETORNO,2.00,UND,1644.00,478
10031947,SUM E INST DE DIFUSOR LINEAL 6FT INYECC,8.00,UND,1644.00,478
10031948,SUM E INST DE DIFUSOR LINEAL 6FT RETORNO,8.00,UND,1644.00,478
10031968,DESINST. DE PUERTA BLINDADA (POO PVT) C,1.00,UND,1534.00,478
10031980,COLOC. DE PUERTA DE SEGURIDAD TIPO POO S,1.00,UND,1809.00,478
10031986,SUM. E INST. DE SALIDA DE SEGURIDAD INC,65.00,SAL,825.00,478
10032030,COLOC. DE CALCAMONIAS EN FACIAS Y CRISTA,15.00,UND,54.40,478
10032032,MOVIMIENTO Y REACOMODO DE MOBILIARIO SEG,7.00,JOR,893.00,478
10032036,IDENTIFICACION DE TUBERIAS CON PINTURA A,1.00,LE,1115.00,478
10032037,LIMPIEZA FINA DE OBRA DURANTE Y AL TERMI,1.00,JOR,893.00,478
10032041,FIJACION DE KIOSKO BANORTEL SUM/ BANORTE,1.00,UND,415.00,478
10032043,INSTALACION DE PANTALLA TV TIPO PLASMA,1.00,UND,720.00,478
10032044,INST UNIDAD DE AIRE ACOND. TIPO PAQUETE,1.00,UND,11220.00,478
10032047,INST EQUIPO DIVIDIDO DE A. ACOND. 4 T.R.,1.00,UND,8335.00,478
10032051,COLOCACION DE TERMOSTATO SUM. P/BANORTE,1.00,UND,377.00,478
10032052,SYCOL. DE GUARDA TERMOSTATO DE AC,1.00,UND,448.00,478
10032053,SUM E INSTALACION DE CONTROL DE CLIMAS,1.00,LE,5775.00,478
