CLAVE SAP,TXT BRV,CANT,UM,PRECIO BRUTO,CR
10031792,SYC CHAMBRANA DE MADERA EN PUERTAS,43.05,MTO,126,172
10031796,SYC. DE TOPE DE PISO MCA. HAGER,3,UND,179,172
10031803,SYC CIERRAPUERTAS DORMA GRIS,3,UND,701.66,172
10031807,SYC CHAPA TESA  MOD. AC 80PD EIFEL,1,UND,1280,172
10031808,SYC REPISA P/AREA DOTACION 0.35X0.15,1,UND,760,172
10031813,SYCOL. DE AJUSTE LATERAL DE CAJAS,1,UND,1050,172
10031818,REUBICACION DE PUERTA DE ACCESO A CAJERO,1,UND,1506.6,172
10031819,"SYC CANCEL DE ALUMINIO 3"" CUPRUM",11.25,M2,1001.84,172
10031821,SYC DE COSTILLAS DE CRISTAL 9mm,18,MTO,268.92,172
10031828,PERFIL ALUM P/SOPORTE DE CRISTAL SANDWIC,7.35,MTO,194.12,172
10031829,COL. DE FACIA DE SEÑALIZACION DE 0.30x,6,UND,147.17,172
10031836,SYC DE CANCEL TEMPLADO DE 9mm.,15.55,M2,2440,172
10031838,SYC PELICULA SEGUR SECURE BL22,25.9,M2,1890,172
10031842,SYC DE TOPE DE PISO MEDIA LUNA,4,UND,95.3,172
10031848,      COL DE PELICULA DE ESMERILA 0.15,11.8,MTO,113.54,172
10031860,"SUM E INST REJA METALICA DE VARILLA 1/2""",181.85,KG,39,172
10031861,SUM. FABRIC. Y COLOC. SOPORTE P/PANTALLA,1,UND,778,172
10031863,"SYC ANGULO METALICO 1 1/4"" x 1/8""",14.65,MTO,72,172
10031884,SUM E INST DE SALIDA DE CIELO O MURO ILU,92,SAL,805,172
10031885,SUM E INST DE SALIDA DE CONTACTO NORMAL,92,SAL,1186,172
10031886,SUM E INST DE SALIDA DE CONTACTO REGULAD,99,SAL,1234,172
10031887,SUM E INST DE SALIDA P/LETRERO LUMINOSO,2,SAL,1370,172
10031889,SUM E INST DE SALIDA ELECTRICA P/CLIMA,1,SAL,5100,172
10031892,SUM. E INST. DE SALIDA PARA FAN AND COIL,1,SAL,2500,172
10031895,SYCOL. DE LUMINARIA SPOT CO1054B,5,UND,895.36,172
10031896,SUM. E INST. DE LUMINARIA DE EMERGENCIA,2,UND,1232.01,172
10031899,REUBICACION DE LUMINARIA  A CUALQUIER AL,4,UND,450,172
10031900,INSTALACION DE LUMINARIA DE RECUPERACION,3,UND,350,172
10031905,SYC REFLECTOR T-DIR CONSTRULITA RE1085BB,4,UND,735,172
10031906,SYC REFLECTOR M- CONSTRULITA MOD. CO1021,12,UND,1350,172
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,82,SAL,1150,172
10031916,S. HAB  FABR Y MONTAJE DUCTOS LAM CAL 24,315,KG,54,172
10031917,"SYC AISLAMIENTO EXTERIOR 1"" P/DUCTO",482,FT2,14.3,172
10031918,"SUM E INST DE DUCTO FLEXIBLE 8"" VERMONT",6,MTO,157.05,172
10031919,"SUM E INST DE DUCTO FLEXIBLE 10"" VERMONT",6,MTO,165.82,172
10031920,"SUM E INST DE DUCTO FLEXIBLE 12"" VERMONT",8,MTO,177.85,172
10031934,"SYCOL. DE DIFUSOR 4v. 9""x 9"" SIN",2,UND,648.39,172
10031946,BALANCEO DEL SISTEMA DE AIRE ACONDICIONA,1,LE,2061.01,172
10031985,COLOC. DE VENTANA BLINDADA Y ROTOTRANSFE,1,UND,1657,172
10031986,SUM. E INST. DE SALIDA DE SEGURIDADINC,38,SAL,825,172
10031990,SUMY COLOLOC. DE  GUARDAPOLVO P/PUERTA,3,UND,226,172
10032023,COLOCACION DE SEÑALIZACION SUM/BANORTE,25,UND,106.67,172
10032031,COLOCACION DE CALCAMONIAS DE SEGURIDAD S,20,UND,54.4,172
10032032,MOVIMIENTO Y REACOMODO DE MOBILIARIO SEG,3,JOR,893,172
10032033,COLOCACION DE EXTINGUIDORES EN MUROINC,2,UND,106.64,172
10032036,IDENTIFICACION DE TUBERIAS CON PINTURA A,1,LE,1115,172
10032037,LIMPIEZA FINA DE OBRA DURANTE Y AL TERMI,3,JOR,893,172
10032043,INSTALACION DE PANTALLA TV TIPO PLASMA,2,UND,720,172
10032046,INST EQUIPO DIVIDIDO DE A. ACOND. 3 T.R.,1,UND,8150,172
10032051,COLOCACION DE TERMOSTATO SUM. P/BANORTE,1,UND,377,172
10032052,SYCOL. DE GUARDA TERMOSTATO DE AC,2,UND,448,172
